Date;Open;High;Low;Close;Volume;Adj Close
2016-01-13;90,9;92,05;90,5;90,75;8060500;90,75
2016-01-12;89,1;90,8;88,7;90;10120400;90
2016-01-11;88,75;89,9;88,6;89,2;7444600;89,2
2016-01-08;89,85;91,4;88,8;88,8;9827700;88,8
2016-01-07;88,95;90,2;86,7;89,5;17224200;89,5
2016-01-06;90,75;90,75;90,75;90,75;0;90,75
2016-01-05;91,2;91,65;90,35;90,75;3072800;90,75
2016-01-04;91,9;91,95;90,25;90,55;6329200;90,55
2016-01-01;93,3;93,3;93,3;93,3;0;93,3
2015-12-31;93,3;93,3;93,3;93,3;0;93,3
2015-12-30;93,8;93,8;92,85;93,3;4168200;93,3
2015-12-29;93,1;93,8;92,9;93,8;4029500;93,8
2015-12-28;93,15;93,7;92,25;92,45;2398600;92,45
2015-12-25;93,3;93,3;93,3;93,3;0;93,3
2015-12-24;93,3;93,3;93,3;93,3;0;93,3
2015-12-23;92,15;93,3;92,05;93,3;4122800;93,3
2015-12-22;91,85;92,25;90,8;91,25;5088300;91,25
2015-12-21;91,6;92,85;91,15;91,2;4989800;91,2
2015-12-18;91,5;92,75;90,9;91,65;8306400;91,65
2015-12-17;93,25;94,35;92,35;92,6;8374900;92,6
2015-12-16;92,3;92,75;91,3;91,75;9046800;91,75
2015-12-15;89,05;92,45;88,95;92,25;8864200;92,25
2015-12-14;89,85;90,5;88,15;88,15;9086800;88,15
2015-12-11;91,05;91,45;89,15;89,3;8082600;89,3
2015-12-10;91,35;92,55;90,45;91,3;9272900;91,3
2015-12-09;93;93,8;90,7;91,65;12105900;91,65
2015-12-08;94,2;94,65;91,65;92,15;9116400;92,15
2015-12-07;94,9;95,25;94,25;94,45;6317000;94,45
2015-12-04;94,7;95,15;93,5;93,9;9543500;93,9
2015-12-03;97,05;97,45;94,8;94,85;10145900;94,85
2015-12-02;96,8;97,6;96,35;97,15;6196200;97,15
2015-12-01;96,9;97,65;96,25;96,65;4778900;96,65
2015-11-30;96,25;97,4;95,65;96,65;9443900;96,65
2015-11-27;95,75;96,5;95,35;96,25;3410300;96,25
2015-11-26;94,95;96,45;94,85;96,05;6209900;96,05
2015-11-25;94,5;95,45;93,95;95,25;6209200;95,25
2015-11-24;95,85;95,85;93,9;93,95;9072600;93,95
2015-11-23;95,5;96,45;95,05;96,15;4504100;96,15
2015-11-20;97;97,2;95,4;95,8;6131300;95,8
2015-11-19;96,95;98;96,6;96,9;5955200;96,9
2015-11-18;95,85;96,3;95,6;96,3;4371800;96,3
2015-11-17;94,35;96,35;94,1;96,2;6741700;96,2
2015-11-16;93,15;94,5;93,15;93,55;5209300;93,55
2015-11-13;94,4;95,1;93,65;94,2;6312300;94,2
2015-11-12;95,55;95,7;94,6;94,75;5613000;94,75
2015-11-11;94,85;96,1;94,75;95,7;5689900;95,7
2015-11-10;95,25;95,35;93,65;94,55;7808200;94,55
2015-11-09;95,95;96,7;95;95;5403600;95
2015-11-06;95,2;96,35;94,55;95,6;9816000;95,6
2015-11-05;96,8;97,35;95,15;95,2;10562600;95,2
2015-11-04;97;97,9;96,65;97,6;7121000;97,6
2015-11-03;96,9;97,15;95,8;96,9;6957900;96,9
2015-11-02;94,2;97,3;93,75;96,8;9214200;96,8
2015-10-30;94,3;95,85;94,3;94,5;4812000;94,5
2015-10-29;95,35;95,5;93,4;94,25;8854000;94,25
2015-10-28;96,65;97,15;94,8;95,05;8628100;95,05
2015-10-27;97,15;97,7;96,15;96,35;5165500;96,35
2015-10-26;98,25;98,4;96,9;97,5;5769600;97,5
2015-10-23;97,1;99,05;96,5;98,5;10547500;98,5
2015-10-22;93,5;96,85;92,8;96,35;12475100;96,35
2015-10-21;96;96,4;93,55;94,5;19849200;94,5
2015-10-20;99;100;98,45;99,3;8814700;99,3
2015-10-19;97,3;99;97,3;98,95;6829800;98,95
2015-10-16;97;97,9;96,45;97,25;7906700;97,25
2015-10-15;95,2;96,3;94,7;96,3;8149700;96,3
2015-10-14;95,3;95,65;94,4;94,4;7326500;94,4
2015-10-13;97,65;97,65;94,75;95,5;8123700;95,5
2015-10-12;98,15;99,3;96,65;97,65;5871600;97,65
2015-10-09;98,45;98,75;97,35;97,85;6820800;97,85
2015-10-08;97,25;97,8;96,85;97,6;6292800;97,6
2015-10-07;98,95;99,05;97,5;97,5;8879400;97,5
2015-10-06;97,85;98,65;96,55;98,4;9003800;98,4
2015-10-05;97,4;97,95;96,4;97,95;8147000;97,95
2015-10-02;95,3;96,7;94,55;95,7;13930200;95,7
2015-10-01;94,25;95,35;93,7;94,3;15171800;94,3
2015-09-30;93,7;93,95;92,6;93,2;10084000;93,2
2015-09-29;92;93,8;91,7;91,95;12050500;91,95
2015-09-28;94,6;95,1;93,05;93,05;7422200;93,05
2015-09-25;92,55;94,95;92,55;94,8;9691600;94,8
2015-09-24;94,2;94,75;91,15;91,3;14520500;91,3
2015-09-23;95,3;95,95;94,15;94,15;8118200;94,15
2015-09-22;97,85;98,15;94,95;95,4;9439000;95,4
2015-09-21;95,95;97,95;95,5;97,8;7022900;97,8
2015-09-18;98,05;98,2;95,7;96,15;8972000;96,15
2015-09-17;98,45;99;97,75;98,7;5591900;98,7
2015-09-16;98,6;99,2;97,55;98,2;6126000;98,2
2015-09-15;97,4;98,75;96,6;98;6740300;98
2015-09-14;100,2;100,4;96,85;97,2;11417700;97,2
2015-09-11;100,5;100,6;99,15;100,2;6231100;100,2
2015-09-10;99,15;100,5;98,75;100;9891800;100
2015-09-09;101,1;101,8;100;100,1;7558800;100,1
2015-09-08;98,65;100,1;98,35;99,2;7026300;99,2
2015-09-07;98;98,55;97,4;97,85;4192800;97,85
2015-09-04;98,85;99;97,05;97,3;9191200;97,3
2015-09-03;99,4;100,4;98,2;99,95;10821800;99,95
2015-09-02;98,15;99,75;97,9;98,3;8301000;98,3
2015-09-01;99,65;99,65;97;97,6;10045600;97,6
2015-08-31;100,4;100,9;99,1;100,2;5815000;100,2
2015-08-28;100,2;100,8;99,15;100,8;6447400;100,8
2015-08-27;99,45;100,9;99,4;100,4;11481000;100,4
2015-08-26;97,85;99,8;96,1;97,2;11669800;97,2
