Date;Open;High;Low;Close;Volume;Adj Close
2016-01-13;181.50;185.30;181.20;182.30;877200;182.30
2016-01-12;180.39999;183.60001;178.50;178.80;633100;178.80
2016-01-11;178.30;182.20;177.89999;180.50;577000;180.50
2016-01-08;181.80;184.60001;178.30;179.00;795900;179.00
2016-01-07;179.30;183.30;173.50;181.39999;2017300;181.39999
2016-01-06;183.39999;183.39999;183.39999;183.39999;0;183.39999
2016-01-05;188.50;188.50;182.70;183.39999;830500;183.39999
2016-01-04;193.00;193.00;187.50;188.00;729100;188.00
2016-01-01;195.30;195.30;195.30;195.30;0;195.30
2015-12-31;195.30;195.30;195.30;195.30;0;195.30
2015-12-30;197.89999;198.00;195.10001;195.30;636000;195.30
2015-12-29;196.39999;197.89999;195.80;197.89999;407300;197.89999
2015-12-28;198.89999;198.89999;194.50;194.89999;320700;194.89999
2015-12-25;197.70;197.70;197.70;197.70;0;197.70
2015-12-24;197.70;197.70;197.70;197.70;0;197.70
2015-12-23;194.80;197.70;194.50;197.70;412000;197.70
2015-12-22;193.80;194.10001;190.20;192.39999;439100;192.39999
2015-12-21;193.20;196.39999;192.50;192.50;478500;192.50
2015-12-18;194.70;194.89999;191.39999;193.30;676100;193.30
2015-12-17;200.89999;201.89999;195.60001;196.10001;781900;196.10001
2015-12-16;194.00;198.39999;192.70;196.20;1040400;196.20
2015-12-15;192.50;194.20;190.80;193.70;1300200;193.70
2015-12-14;195.00;197.20;191.30;191.60001;1078400;191.60001
2015-12-11;202.20;202.20;194.39999;194.39999;1342800;194.39999
2015-12-10;201.50;203.70;200.50;202.20;554100;202.20
2015-12-09;205.10001;205.89999;199.50;201.30;1496200;201.30
2015-12-08;212.70;213.30;203.39999;204.60001;936200;204.60001
2015-12-07;213.30;215.10001;212.80;213.30;470400;213.30
2015-12-04;214.20;214.20;209.20;211.20;841800;211.20
2015-12-03;217.30;219.70;212.30;212.30;1417300;212.30
2015-12-02;216.00;219.10001;213.80;218.60001;788400;218.60001
2015-12-01;217.20;220.00;214.50;215.39999;1142800;215.39999
2015-11-30;215.00;217.39999;213.30;215.80;1183800;215.80
2015-11-27;213.10001;215.60001;212.00;214.80;456000;214.80
2015-11-26;210.89999;215.30;210.89999;214.89999;459400;214.89999
